TQRMNOQTPHMMLUCDEHJGH00800794;2023;1;1;1;40;S;23;389;1;;6;1;;1;1;1;1;;1;1;1;2;2;2;2;6;4;1;1;1;1;1;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;762248;10;10;10;10;;10;152449,6;9;9;10;9;;10;373;2;0;98;0;0;0;Extendido;Material durable;Alto;Buena
TQRMNOTQXHKKLUCDEHJGH00778633;2023;1;1;1;40;S;23;421;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;2;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;350000;9;9;9;9;;9;87500;7;7;8;7;;8;409;1;2;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOQXRHKMMLCDEHJGH00778740;2023;1;1;1;40;S;23;384;1;;4;1;;2;1;1;1;;1;1;1;1;1;1;2;4;3;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;203000;6;7;7;6;;6;50750;4;4;5;4;;5;407;1;2;3;4;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOSRPHKMMLCDEHJGH00778722;2023;1;1;1;40;S;23;427;1;;4;1;;4;1;1;1;;1;1;1;1;1;1;2;4;3;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;305000;8;9;9;8;;9;101666,67;7;8;9;7;;8;378;1;2;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORSXHLNLTCDEHJGH00717142;2023;1;1;1;40;S;23;308;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;126000;4;4;4;4;;4;31500;2;2;3;2;;2;320;1;0;98;0;0;0;Nuclear;Material durable;Alto;Saludable
TQRMNORTUHKOQQCDEIJAH00780489;2023;1;1;1;1;S;33;3097;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;125000;4;;4;4;;4;125000;8;;8;8;;9;4844;1;0;98;0;0;0;Unipersonal;Material durable;Medio;Buena
TQRMNORXYHMMKQCDEIMBF00802891;2023;1;1;1;43;N;36;249;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;2;106000;3;3;3;;3;3;53000;4;4;4;;4;3;284;2;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORQYHJKKOCDEIMBF00794673;2023;1;1;1;43;N;36;194;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;250000;7;8;7;;8;8;125000;8;8;8;;9;8;217;96;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOSQTHJOKPCDEIMBF00795465;2023;1;1;1;43;N;36;162;1;;3;2;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;1;2;2;2;2;0;2;82400;2;2;2;;2;2;41200;3;3;3;;3;2;186;1;0;98;0;0;0;Nuclear;Material durable;Alto;Saludable
TQRMNORWPHKMKRCDEIMBF00781196;2023;1;1;1;43;N;36;123;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;216000;7;7;7;;7;7;216000;10;10;10;;10;10;130;1;0;97;0;0;0;Unipersonal;Material durable;Medio;Buena
